Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,1,1,Matches
Éder Militão\2784f898,br BRA,DF,23,49.9,93,59,61,20,12,37,77,48.1,40,423,155,36.6,244,142,37,73,40,0,33,110,195,161,3,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,47.3,70,53,33,28,9,18,63,28.6,45,837,242,28.9,213,314,310,40,3,0,37,22,90,4,0,Matches
David Alaba\05439de2,at AUT,DF,29,45.2,44,29,24,17,3,15,28,53.6,13,341,121,35.5,167,141,33,51,26,1,25,55,95,101,2,Matches
Casemiro\4d224fe8,br BRA,MF,29,43.5,124,91,70,46,8,44,100,44.0,56,635,236,37.2,307,260,68,87,25,0,62,93,206,104,3,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,43.4,15,11,2,7,6,2,12,16.7,10,448,112,25.0,38,170,240,22,0,0,22,12,27,25,0,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,38.0,38,24,14,15,9,13,39,33.3,26,473,133,28.1,116,234,123,20,5,0,15,51,84,11,0,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,37.6,68,52,22,35,11,23,61,37.7,38,616,145,23.5,203,318,95,23,6,1,17,25,91,12,0,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31.8,56,35,17,28,11,15,48,31.3,33,460,144,31.3,121,237,102,45,7,0,38,57,111,27,0,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,31.2,38,27,22,13,3,15,28,53.6,13,222,83,37.4,106,68,48,47,5,1,42,45,83,37,0,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,28.8,58,38,31,19,8,24,60,40.0,36,379,99,26.1,151,145,83,68,19,1,49,61,118,57,2,Matches
Nacho\2946f9a1,es ESP,DF,31,28.3,30,19,19,8,3,14,32,43.8,18,179,50,27.9,86,74,19,30,20,0,10,53,79,74,0,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,27.9,60,42,37,13,10,26,47,55.3,21,372,117,31.5,165,122,85,52,8,0,44,34,91,32,1,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,26.1,30,21,12,9,9,6,26,23.1,20,396,94,23.7,97,146,153,40,1,0,39,36,62,9,0,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,23.8,19,11,9,7,3,9,26,34.6,17,230,50,21.7,45,86,99,17,1,0,16,28,44,6,1,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,18.6,67,45,28,28,11,24,46,52.2,22,438,111,25.3,147,215,76,36,3,0,33,23,86,21,0,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,10.1,9,7,5,4,0,4,9,44.4,5,89,27,30.3,21,43,25,5,1,0,4,8,17,1,0,Matches
Marcelo\603116a7,br BRA,DF,33,8.2,9,8,4,2,3,4,10,40.0,6,41,16,39.0,16,10,15,11,2,0,9,10,17,8,0,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,6.2,3,2,1,2,0,1,1,100.0,0,52,8,15.4,4,27,21,3,0,0,3,2,5,4,0,Matches
Mariano\5c4dc0ff,do DOM,FW,27,4.5,2,2,1,0,1,0,0,,0,63,11,17.5,9,24,30,1,0,0,1,1,3,4,0,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,3.9,9,7,8,1,0,7,9,77.8,2,48,17,35.4,34,12,2,15,8,0,7,6,15,16,0,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,3.9,10,7,7,3,0,3,12,25.0,9,75,22,29.3,21,39,15,1,0,0,1,2,12,0,0,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,3.9,15,8,6,9,0,5,12,41.7,7,86,24,27.9,25,40,21,7,2,0,5,8,23,1,0,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3.6,6,4,4,1,1,3,5,60.0,2,30,11,36.7,10,12,8,1,0,0,1,5,11,5,0,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,3.2,1,1,0,0,1,0,4,0.0,4,39,15,38.5,5,23,11,2,0,0,2,5,6,1,0,Matches
Blanco\506daeac,es ESP,MF,21,0.4,0,0,0,0,0,0,1,0.0,1,12,4,33.3,8,4,0,1,1,0,0,2,2,1,1,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,0.3,1,1,0,1,0,0,0,,0,7,4,57.1,4,2,1,0,0,0,0,1,2,0,0,Matches
Mario Gila\9c435456,es ESP,DF,20,0.3,1,1,1,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,2,3,1,0,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
Latasa\2bea832e,es ESP,FW,20,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0,Matches
