,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Éder Militão\2784f898,br BRA,DF,23,34,34,3031,33.7,1,2,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,2.7,2.7,1.2,3.9,0.08,0.04,0.11,0.08,0.11,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,32,31,2593,28.8,27,12,20,7,11,0,0,0.94,0.42,1.35,0.69,1.11,23.5,15.2,9.5,24.7,0.82,0.33,1.15,0.53,0.86,Matches
Casemiro\4d224fe8,br BRA,MF,29,32,31,2569,28.5,1,3,1,0,0,11,0,0.04,0.11,0.14,0.04,0.14,2.5,2.5,2.5,5.0,0.09,0.09,0.17,0.09,0.17,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,35,30,2690,29.9,17,10,17,0,0,6,0,0.57,0.33,0.90,0.57,0.90,13.1,13.1,7.8,20.9,0.44,0.26,0.70,0.44,0.70,Matches
David Alaba\05439de2,at AUT,DF,29,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.10,0.17,0.07,0.17,1.6,1.6,2.4,3.9,0.05,0.08,0.13,0.05,0.13,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,28,25,2103,23.4,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,2.0,2.0,3.5,5.5,0.08,0.15,0.23,0.08,0.23,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,28,25,2032,22.6,2,8,1,1,1,4,0,0.09,0.35,0.44,0.04,0.40,2.7,2.0,4.2,6.1,0.12,0.18,0.31,0.09,0.27,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,29,20,1833,20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.8,1.8,2.7,4.6,0.09,0.13,0.23,0.09,0.23,Matches
