Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,13,7,4,5,4,3,20,15.0,17,167,45,26.9,59,58,50,14,4,0,10,13,,11,1,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,21,14,12,8,1,9,22,40.9,13,143,30,21.0,55,57,31,18,9,0,9,14,,26,2,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,28,19,14,7,7,9,27,33.3,18,181,53,29.3,61,74,46,19,2,0,17,14,,33,1,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,19,12,14,3,2,6,20,30.0,14,175,41,23.4,73,58,44,23,3,0,20,15,,22,0,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,16,9,10,5,1,5,15,33.3,10,149,51,34.2,57,54,38,19,6,0,13,14,,24,0,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,16,12,9,3,4,9,22,40.9,13,142,42,29.6,54,44,44,14,4,0,10,12,,20,0,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,15,9,11,4,0,5,21,23.8,16,124,29,23.4,52,48,24,11,5,0,6,15,,7,1,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,16,12,9,5,2,3,9,33.3,6,123,32,26.0,73,29,21,16,6,0,10,11,,17,0,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,15,12,13,1,1,5,26,19.2,21,131,39,29.8,78,45,8,33,13,0,20,19,,44,0,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,12,8,6,6,0,6,15,40.0,9,128,26,20.3,57,47,24,17,7,0,10,6,,32,0,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,16,13,10,4,2,8,24,33.3,16,150,42,28.0,57,53,40,23,6,0,17,13,,18,0,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,22,9,7,7,8,8,18,44.4,10,147,35,23.8,37,46,64,10,2,0,8,17,,8,0,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,11,7,7,2,2,8,18,44.4,10,126,22,17.5,46,41,39,19,3,0,16,15,,29,0,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,15,8,10,4,1,9,19,47.4,10,129,31,24.0,45,58,26,14,5,0,9,13,,21,0,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,11,7,6,3,2,5,19,26.3,14,146,33,22.6,46,58,42,14,4,0,10,16,,9,1,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,16,9,6,5,5,9,26,34.6,17,205,41,20.0,53,71,81,14,3,1,11,20,,8,0,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,22,13,10,8,4,9,23,39.1,14,133,25,18.8,62,46,25,24,6,1,18,13,,19,0,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,13,7,10,3,0,5,19,26.3,14,189,42,22.2,105,52,32,24,6,0,18,16,,14,1,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,15,8,13,1,1,12,23,52.2,11,152,43,28.3,65,59,28,12,2,0,10,13,,13,0,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,16,11,8,7,1,8,16,50.0,8,121,28,23.1,34,51,36,16,4,0,12,13,,18,0,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,18,11,9,2,7,9,20,45.0,11,134,40,29.9,44,52,38,12,1,0,11,7,,3,0,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,14,11,7,4,3,7,16,43.8,9,132,29,22.0,45,52,35,7,4,0,3,15,,7,0,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,22,15,9,8,5,8,19,42.1,11,190,58,30.5,56,81,53,10,1,0,9,15,,5,0,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,23,17,19,4,0,9,24,37.5,15,165,41,24.8,106,50,9,31,16,0,15,21,,24,0,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,9,6,2,2,5,3,17,17.6,14,119,22,18.5,31,43,45,9,3,1,6,20,,10,0,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,19,12,10,7,2,6,19,31.6,13,290,55,19.0,111,129,50,15,5,0,10,24,,30,0,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,4,,,,,,,,,,,,,,,,,,9,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,18,10,9,7,2,10,22,45.5,12,192,39,20.3,58,94,40,16,7,0,9,10,,13,0,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,12,,,,,,,,,,,,,,,,,,15,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,9,,,,,,,,,,,,,,,,,,9,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,9,,,,,,,,,,,,,,,,,,17,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,25,10,21,4,0,15,31,48.4,16,172,32,18.6,90,54,28,29,8,0,21,15,,18,0,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,12,,,,,,,,,,,,,,,,,,7,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,19,10,10,5,4,6,19,31.6,13,172,38,22.1,71,66,35,17,6,0,11,22,,18,1,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,13,9,6,4,3,6,18,33.3,12,130,40,30.8,59,38,33,14,6,1,8,16,,9,0,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,18,8,8,4,6,9,21,42.9,12,189,69,36.5,50,68,71,14,1,0,13,13,,3,0,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,22,8,18,0,4,18,27,66.7,9,174,33,19.0,78,65,31,16,4,1,12,17,,21,0,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,16,11,5,7,4,6,22,27.3,16,185,44,23.8,66,81,38,18,7,0,11,21,,26,0,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,18,11,14,3,1,10,23,43.5,13,126,30,23.8,63,36,27,21,7,0,14,17,,39,0,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,21,14,17,4,0,9,23,39.1,14,137,47,34.3,91,32,14,21,7,0,14,7,,21,2,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,20,13,12,2,6,14,23,60.9,9,154,28,18.2,60,63,31,21,4,0,17,17,,16,1,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,17,15,9,5,3,7,14,50.0,7,201,50,24.9,56,81,64,13,5,0,8,8,,8,0,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,22,13,12,5,5,10,18,55.6,8,208,50,24.0,66,78,64,17,3,0,14,10,,3,0,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,12,8,5,4,3,3,10,30.0,7,180,48,26.7,28,77,75,11,0,0,11,11,,9,3,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,12,10,5,7,0,5,11,45.5,6,157,28,17.8,59,79,19,25,10,0,15,16,,21,0,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,31,15,14,13,4,12,24,50.0,12,263,72,27.4,64,110,89,15,1,0,14,15,,4,0,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,14,10,12,1,1,5,17,29.4,12,153,37,24.2,60,44,49,17,5,0,12,24,,24,0,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,17,10,11,2,4,8,19,42.1,11,129,29,22.5,44,48,37,17,9,0,8,11,,4,0,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,15,7,6,6,3,10,23,43.5,13,184,48,26.1,29,81,74,9,2,0,7,8,,7,1,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,17,14,8,6,3,7,22,31.8,15,157,34,21.7,46,72,39,11,1,0,10,11,,8,0,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,31,20,19,7,5,11,19,57.9,8,177,58,32.8,53,74,50,16,4,0,12,13,,24,0,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,18,13,7,7,4,11,15,73.3,4,191,55,28.8,47,74,70,15,5,0,10,14,,14,0,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,22,18,14,6,2,11,19,57.9,8,240,70,29.2,92,75,73,7,4,0,3,17,,9,0,Match Report
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,19,15,8,9,2,7,18,38.9,11,206,54,26.2,66,91,49,11,1,0,10,17,,8,0,Match Report
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,18,10,11,5,2,12,29,41.4,17,147,20,13.6,53,62,32,14,3,0,11,4,,15,0,Match Report
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,15,10,9,2,4,6,14,42.9,8,164,48,29.3,34,76,54,14,2,0,12,17,,2,0,Match Report
,,,,,,9-8-39,119,50,,903,616,515,243,145,411,1018,40.4,607,8379,2076,24.8,3045,3175,2159,837,242,5,595,792,,816,15,
