Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,20,12,10,8,2,4,10,40.0,6,132,38,28.8,43,65,24,9,4,0,5,27,,4,1,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,17,8,10,6,1,7,22,31.8,15,117,32,27.4,33,52,32,10,1,0,9,22,,14,1,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,17,10,9,6,2,6,22,27.3,16,110,37,33.6,36,53,21,10,2,0,8,18,,17,0,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,11,7,2,4,5,3,11,27.3,8,133,44,33.1,38,50,45,13,4,0,9,9,,16,0,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,17,9,10,3,4,5,10,50.0,5,152,49,32.2,52,53,47,17,6,0,11,12,,14,0,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,16,9,12,3,1,3,10,30.0,7,118,38,32.2,61,37,20,13,3,0,10,13,,18,0,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,18,10,6,8,4,3,16,18.8,13,139,32,23.0,46,64,29,13,5,0,8,13,,21,1,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,15,12,7,3,5,3,13,23.1,10,167,38,22.8,33,76,58,10,1,0,9,15,,14,0,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,15,8,4,10,1,8,20,40.0,12,126,52,41.3,25,53,48,10,0,0,10,5,,5,0,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,23,18,10,9,4,10,21,47.6,11,160,42,26.3,53,76,31,11,0,0,11,4,,7,0,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,22,10,9,8,5,1,4,25.0,3,189,58,30.7,49,80,60,8,2,0,6,20,,8,0,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,14,8,11,3,0,3,10,30.0,7,84,28,33.3,52,25,7,15,4,0,11,14,,10,0,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,13,9,6,7,0,1,6,16.7,5,121,43,35.5,32,59,30,9,0,0,9,15,,9,0,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,20,13,9,7,4,7,13,53.8,6,119,34,28.6,47,42,30,15,4,0,11,23,,14,2,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,21,15,13,5,3,7,14,50.0,7,178,48,27.0,67,72,39,14,4,0,10,8,,9,0,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,21,15,10,9,2,12,21,57.1,9,169,45,26.6,76,61,32,19,7,1,12,12,,9,0,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,7,6,5,2,0,0,6,0.0,6,96,35,36.5,26,44,26,9,5,0,4,13,,19,1,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,17,11,7,7,3,6,9,66.7,3,92,26,28.3,32,34,26,13,0,0,13,12,,13,0,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,9,6,4,3,2,3,18,16.7,15,144,30,20.8,34,54,56,9,3,1,6,6,,16,1,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,16,8,13,1,2,7,18,38.9,11,152,47,30.9,64,63,25,19,9,0,10,20,,18,0,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,20,15,12,6,2,12,18,66.7,6,162,43,26.5,59,74,29,20,6,0,14,8,,21,1,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,9,5,5,2,2,2,11,18.2,9,83,16,19.3,25,29,29,19,5,0,14,11,,21,0,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,17,11,12,5,0,6,16,37.5,10,139,35,25.2,60,57,22,11,1,0,10,11,,19,1,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,13,13,4,6,3,6,10,60.0,4,73,36,49.3,11,32,30,7,0,0,7,5,,5,0,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,13,10,10,3,0,3,6,50.0,3,129,40,31.0,78,39,12,14,5,0,9,15,,22,1,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,16,11,7,8,1,1,3,33.3,2,112,43,38.4,40,52,20,12,2,0,10,11,,15,1,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,11,,,,,,,,,,,,,,,,,,13,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,12,10,7,4,1,6,15,40.0,9,74,27,36.5,23,26,25,11,4,0,7,14,,19,0,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,8,,,,,,,,,,,,,,,,,,8,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,6,,,,,,,,,,,,,,,,,,9,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,11,,,,,,,,,,,,,,,,,,6,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,16,13,5,7,4,3,7,42.9,4,117,52,44.4,32,52,33,5,0,0,5,13,,2,0,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,10,,,,,,,,,,,,,,,,,,19,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,14,8,6,6,2,4,5,80.0,1,140,47,33.6,27,65,48,8,1,0,7,8,,10,0,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,19,16,11,3,5,9,28,32.1,19,143,48,33.6,51,51,41,17,6,0,11,18,,11,0,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,25,16,20,4,1,12,31,38.7,19,221,52,23.5,107,78,36,21,7,0,14,16,,9,0,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,14,7,6,8,0,7,14,50.0,7,106,40,37.7,24,50,32,13,0,0,13,18,,15,1,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,21,12,6,11,4,7,12,58.3,5,114,41,36.0,30,51,33,15,3,0,12,10,,10,0,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,17,12,6,6,5,4,9,44.4,5,100,46,46.0,13,44,43,13,0,0,13,3,,5,0,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,27,19,9,11,7,8,22,36.4,14,207,49,23.7,54,85,68,13,3,0,10,10,,8,0,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,18,12,8,8,2,8,14,57.1,6,127,36,28.3,33,56,38,15,4,0,11,5,,18,0,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,12,7,6,5,1,4,14,28.6,10,192,42,21.9,38,94,60,12,3,0,9,28,,7,2,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,8,3,5,1,2,3,8,37.5,5,163,41,25.2,68,59,36,13,3,0,10,27,,26,0,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,14,9,6,8,0,6,15,40.0,9,221,36,16.3,94,96,31,21,5,0,16,14,,16,0,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,12,7,3,7,2,5,10,50.0,5,122,43,35.2,27,55,40,12,4,0,8,12,,15,0,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,39,18,20,14,5,13,25,52.0,12,230,54,23.5,99,89,42,32,8,0,24,14,,22,0,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,16,11,8,4,4,6,13,46.2,7,135,42,31.1,27,59,49,7,1,0,6,9,,9,0,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,16,11,7,8,1,5,12,41.7,7,78,28,35.9,26,38,14,7,5,0,2,15,,16,0,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,14,7,5,9,0,3,20,15.0,17,110,28,25.5,40,51,19,16,5,1,11,20,,17,0,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,20,12,8,11,1,13,19,68.4,6,147,37,25.2,56,68,23,17,5,0,12,8,,19,0,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,26,15,11,10,5,10,27,37.0,17,198,54,27.3,68,77,53,17,3,1,14,18,,21,0,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,19,15,12,7,0,11,18,61.1,7,101,34,33.7,37,53,11,14,4,0,10,8,,19,0,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,17,12,10,4,3,9,22,40.9,13,134,33,24.6,45,53,36,19,8,0,11,22,,9,0,Match Report
