Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,7,4,3,42.9,0,2.5,-1.5,0,0,0,0,11,12,91.7,16,3,31.3,32.8,13,53.8,39.7,7,1,14.3,0,7.0,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,5,3,2,40.0,0,1.5,-1.5,0,0,0,0,11,20,55.0,21,0,71.4,48.4,11,45.5,31.6,14,0,0.0,0,13.8,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5,11,45.5,24,3,41.7,37.2,8,12.5,26.3,6,0,0.0,1,23.0,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,10,5,6,60.0,0,4.9,-0.1,1,1,0,0,6,17,35.3,26,4,61.5,49.4,2,50.0,62.0,8,1,12.5,1,13.8,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,2,1,1,50.0,0,1.2,+0.2,0,0,0,0,5,6,83.3,30,5,13.3,21.0,2,100.0,50.0,11,1,9.1,0,9.8,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,10,2,8,80.0,0,1.2,-0.8,0,0,0,0,10,16,62.5,17,3,64.7,47.1,7,71.4,50.9,7,0,0.0,0,11.3,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,11,6,5,45.5,0,2.8,-3.2,0,0,0,0,10,24,41.7,23,3,87.0,58.0,7,57.1,43.1,9,0,0.0,0,10.0,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,4,13,30.8,38,9,23.7,30.3,9,44.4,41.1,22,2,9.1,0,14.8,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,10,1,10,100.0,0,2.9,+1.9,1,1,0,0,6,16,37.5,18,1,44.4,47.1,16,50.0,42.1,24,0,0.0,0,5.0,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,4,1,3,75.0,0,1.1,+0.1,0,0,0,0,11,23,47.8,23,4,47.8,42.2,14,85.7,58.5,16,0,0.0,0,8.3,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,10,5,6,50.0,0,3.1,-0.9,0,0,0,0,6,12,50.0,19,2,57.9,43.2,3,33.3,39.7,5,0,0.0,2,16.0,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,5,2,3,60.0,0,1.5,-0.5,0,0,0,0,4,4,100.0,17,7,17.6,26.9,1,100.0,89.0,2,0,0.0,0,10.2,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,2,0,2,100.0,1,0.0,0.0,0,0,0,0,20,35,57.1,22,2,86.4,63.3,18,88.9,63.6,20,0,0.0,0,8.3,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,5,2,3,60.0,0,0.7,-1.3,0,0,0,0,8,11,72.7,19,2,26.3,28.2,10,60.0,44.0,4,0,0.0,2,26.0,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,6,2,4,66.7,0,2.1,+0.1,0,0,0,0,1,5,20.0,26,6,15.4,24.5,2,50.0,30.0,4,0,0.0,0,11.2,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,6,2,4,66.7,0,2.6,+0.6,0,0,0,0,6,16,37.5,17,3,41.2,37.4,11,81.8,50.0,7,2,28.6,0,,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,9,4,5,55.6,0,3.6,-0.4,0,0,0,0,9,17,52.9,22,5,50.0,41.8,8,75.0,52.3,7,0,0.0,0,9.0,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,8,3,5,62.5,0,2.8,-0.2,0,0,0,0,5,11,45.5,22,4,45.5,37.4,7,14.3,19.9,7,0,0.0,0,8.8,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,4,2,1,50.0,0,2.1,+0.1,0,0,0,0,10,20,50.0,28,3,35.7,36.0,12,83.3,58.4,6,0,0.0,1,22.7,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,7,1,6,85.7,0,1.6,+0.6,0,0,0,0,5,5,100.0,23,11,17.4,26.5,8,12.5,24.0,11,0,0.0,1,16.2,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,8,2,6,75.0,0,2.9,+0.9,0,0,0,0,3,5,60.0,23,2,17.4,26.3,4,25.0,30.0,1,0,0.0,2,22.2,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,5,2,3,60.0,0,0.6,-1.4,0,0,0,0,3,4,75.0,26,6,15.4,22.8,5,0.0,28.0,5,0,0.0,2,15.3,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,1,13,7.7,10,1,50.0,34.0,8,100.0,64.5,0,0,,1,23.0,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,8,0,8,100.0,1,1.3,+1.3,0,0,0,0,6,41,14.6,22,1,90.9,69.2,21,100.0,75.3,12,3,25.0,0,7.7,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,7,2,5,71.4,0,1.7,-0.3,0,0,0,0,2,5,40.0,10,1,30.0,29.0,5,40.0,43.2,3,0,0.0,1,29.0,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,4,0,4,100.0,1,0.7,+0.7,0,0,0,0,11,30,36.7,22,1,95.5,67.2,11,81.8,62.5,3,0,0.0,0,14.6,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,4,3,1,25.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,7,4,4,57.1,0,3.7,-0.3,1,1,0,0,6,12,50.0,17,4,35.3,43.9,6,100.0,71.7,7,1,14.3,0,10.0,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,8,3,5,62.5,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,3,2,2,66.7,0,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,8,2,6,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
