Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,3,1,3,100.0,0,0.9,-0.1,1,1,0,0,3,8,37.5,25,7,24.0,33.1,5,40.0,41.4,14,1,7.1,3,19.9,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,4,3,1,25.0,0,1.7,-1.3,0,0,0,0,1,4,25.0,18,4,16.7,29.6,2,50.0,36.5,7,0,0.0,0,10.5,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,7,0,7,100.0,1,1.0,+1.0,0,0,0,0,5,13,38.5,31,6,38.7,37.6,3,33.3,33.3,7,0,0.0,1,18.6,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,4,2,2,50.0,0,1.7,-0.3,0,0,0,0,0,11,0.0,37,6,16.2,31.9,6,83.3,64.8,3,2,66.7,1,18.7,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,5,0,5,100.0,1,1.6,+1.6,0,0,0,0,2,7,28.6,30,5,16.7,26.5,7,28.6,30.0,13,0,0.0,1,18.0,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,4,1,3,75.0,0,1.7,+0.7,0,0,0,0,3,10,30.0,20,4,35.0,36.4,7,42.9,36.6,16,1,6.3,0,10.2,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,4,10,40.0,32,5,18.8,27.2,6,66.7,46.2,3,1,33.3,0,8.3,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,1,1,100.0,20,3,5.0,21.9,4,0.0,22.3,5,0,0.0,2,15.8,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,2,3,66.7,33,7,6.1,21.6,2,50.0,28.5,4,0,0.0,2,27.4,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,3,3,100.0,20,4,5.0,22.0,5,40.0,32.0,3,0,0.0,0,13.7,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,4,0,4,100.0,1,1.1,+1.1,0,0,0,0,7,11,63.6,36,4,30.6,31.2,2,0.0,17.0,2,0,0.0,1,14.0,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,2,1,1,50.0,0,1.1,+0.1,0,0,0,0,5,22,22.7,41,9,41.5,39.5,9,55.6,49.4,13,2,15.4,0,6.1,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0,0,0,,1,0.0,0.0,0,0,0,0,2,4,50.0,23,3,13.0,25.5,6,16.7,31.0,7,2,28.6,0,19.0,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,3,4,75.0,15,3,26.7,33.1,8,0.0,21.3,13,0,0.0,0,18.0,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,5,9,55.6,41,7,19.5,28.9,3,33.3,31.3,1,0,0.0,0,11.6,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,6,1,5,83.3,0,0.8,-0.2,0,0,0,0,2,6,33.3,36,9,8.3,23.3,6,50.0,36.5,11,2,18.2,1,18.8,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,3,8,37.5,30,4,23.3,30.3,1,100.0,75.0,7,1,14.3,0,15.4,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,5,0,5,100.0,1,0.4,+0.4,0,0,0,0,3,4,75.0,22,5,9.1,24.5,4,50.0,41.5,12,1,8.3,2,27.5,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,5,1,4,80.0,0,0.4,-0.6,0,0,0,0,6,16,37.5,31,6,41.9,36.7,5,60.0,35.4,13,0,0.0,1,17.4,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,7,21,33.3,29,5,44.8,42.8,10,80.0,52.9,14,1,7.1,1,15.5,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,0,0,0,,1,0.0,0.0,0,0,0,0,6,21,28.6,24,4,66.7,51.8,7,71.4,61.7,13,2,15.4,0,10.2,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,2,8,25.0,20,4,30.0,36.3,4,50.0,48.0,13,1,7.7,0,8.5,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,6,0,6,100.0,1,1.4,+1.4,0,0,0,0,5,11,45.5,37,6,27.0,32.7,5,20.0,28.6,10,3,30.0,0,10.3,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,0,0,0,,1,0.0,0.0,0,0,0,0,6,7,85.7,17,5,11.8,22.6,9,55.6,37.3,6,0,0.0,1,16.0,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4,14,28.6,21,3,42.9,38.6,10,50.0,45.1,11,0,0.0,1,18.7,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,2,3,66.7,27,11,11.1,25.3,3,0.0,19.0,7,0,0.0,2,15.5,Match Report
