Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,2,0,0,11,15,2,13,27,12,0,1,0,58,3,15,16.7,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,2,0,0,7,17,5,16,22,8,0,0,0,67,9,4,69.2,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,3,0,0,20,18,5,11,18,10,0,0,0,89,11,16,40.7,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,2,0,0,9,17,3,14,9,7,1,0,0,67,3,9,25.0,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,1,0,0,11,10,1,18,12,9,0,0,0,64,4,9,30.8,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,5,0,0,16,14,1,10,13,9,0,0,0,73,8,10,44.4,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,2,0,0,19,10,2,17,13,10,0,0,0,61,15,2,88.2,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,1,0,0,12,13,3,28,15,12,0,0,0,71,8,8,50.0,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,2,0,0,7,14,3,33,5,8,1,0,0,107,11,8,57.9,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,1,0,0,14,12,4,20,4,18,0,0,0,83,16,11,59.3,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,0,0,0,3,8,1,9,20,10,0,0,0,80,5,6,45.5,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,1,0,0,16,15,5,7,14,8,0,0,0,61,8,7,53.3,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,1,0,0,13,9,5,35,15,9,0,0,0,69,15,15,50.0,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,0,0,0,14,11,1,10,23,13,0,0,0,57,8,5,61.5,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,2,0,0,11,15,0,8,8,15,0,0,0,68,6,4,60.0,Match Report
