Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,444,394,50,9,1,63,20,16,0,0,0,0,274,84,86,128,254,20,23,6,368,1,9,27,5,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,375,327,48,12,2,38,18,9,4,3,0,0,237,70,68,67,281,7,17,1,298,0,8,22,9,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,549,502,47,16,0,53,12,10,3,1,0,0,404,56,89,269,236,15,18,3,455,0,13,18,9,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,440,403,37,11,3,71,20,8,3,1,1,1,321,53,66,128,272,8,15,9,355,0,14,6,8,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,540,499,41,11,2,72,14,17,4,2,2,0,414,62,64,122,381,10,18,9,474,0,6,12,11,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,362,317,45,14,0,38,17,19,2,1,1,0,218,56,88,97,216,16,17,7,279,0,6,9,10,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,395,337,58,20,1,43,12,5,2,0,2,0,275,44,76,149,203,15,19,5,325,0,6,12,8,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,581,537,44,13,1,35,14,9,3,2,0,0,497,27,57,176,364,7,18,13,510,2,2,15,9,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,269,225,44,10,0,52,7,4,0,0,0,0,169,32,68,109,129,7,16,1,189,2,9,5,10,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,343,292,51,17,2,69,10,8,2,1,1,0,201,60,82,75,226,12,16,4,278,1,3,4,11,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,531,499,32,3,3,78,8,5,4,1,2,0,439,50,42,231,277,8,9,3,462,2,5,20,6,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,516,469,47,18,0,31,14,18,7,0,5,0,397,55,64,107,369,10,18,8,441,2,9,12,11,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,284,228,56,16,0,47,11,8,3,1,0,0,121,50,113,74,155,18,18,6,194,0,5,12,8,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,488,439,49,14,0,58,18,15,5,1,2,1,384,42,62,193,265,9,17,2,407,1,6,23,11,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,566,535,31,10,2,109,12,3,1,0,1,0,451,58,57,256,278,8,13,8,507,1,6,7,10,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,504,446,58,12,0,95,27,16,5,2,2,0,356,70,78,124,336,4,27,5,433,0,8,12,12,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,344,299,45,10,0,54,18,11,8,5,3,0,220,40,84,100,204,10,14,5,265,1,8,12,4,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,349,306,43,12,0,36,14,13,3,1,1,0,232,41,76,137,169,13,16,5,273,2,3,12,13,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,519,481,38,10,0,68,32,15,4,0,3,0,368,51,100,119,346,28,9,7,452,1,13,6,6,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,445,398,47,15,2,48,16,17,6,1,3,0,303,50,92,87,297,20,16,16,351,0,5,17,10,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,541,500,41,9,0,86,8,15,5,3,2,0,403,69,69,160,327,21,19,4,457,1,9,7,14,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,587,556,31,5,0,45,21,16,7,3,4,0,447,66,74,162,386,16,10,11,519,0,7,10,14,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,434,386,48,16,0,68,15,11,6,5,0,0,319,43,72,147,256,10,15,4,358,1,9,11,10,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,200,156,44,12,0,25,8,8,2,2,0,0,73,33,94,42,120,12,8,4,101,1,13,5,7,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,467,427,40,8,0,83,13,15,7,3,3,0,356,65,46,56,380,9,17,2,399,2,6,13,9,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,280,233,47,14,1,58,21,7,2,1,1,0,136,46,98,83,144,14,19,3,192,0,4,11,10,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,,,,,,,25,,,,,,,,,,,,,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,320,274,46,18,0,24,17,12,8,4,2,1,199,40,81,100,181,20,9,5,239,0,5,14,8,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,,,,,,,26,,,,,,,,,,,,,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,,,,,,,23,,,,,,,,,,,,,,,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,,,,,,,20,,,,,,,,,,,,,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,375,339,36,11,0,57,4,4,3,1,1,1,247,42,86,192,144,14,9,4,296,0,7,13,5,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,,,,,,27,,,,,,,,,,,,,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,363,324,39,10,2,89,13,4,2,2,0,0,238,42,83,112,202,12,16,8,281,0,12,7,7,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,509,471,38,13,0,52,9,13,3,1,0,0,411,33,65,222,253,13,12,5,424,3,6,17,10,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,707,676,31,10,1,119,4,8,7,0,4,0,622,44,41,252,420,15,12,6,634,1,8,15,14,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,327,270,57,13,0,61,13,11,1,0,1,0,154,59,114,98,156,22,24,4,217,1,13,18,13,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,379,345,34,10,0,50,11,18,5,2,3,0,244,53,82,92,244,19,14,6,300,0,3,10,12,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,378,340,38,13,0,46,6,2,1,0,1,0,300,30,48,154,190,8,11,10,311,0,7,3,14,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,624,578,46,13,2,99,4,3,2,0,0,0,520,63,41,185,397,10,17,13,559,2,4,10,10,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,374,326,48,18,0,55,15,16,1,1,0,0,248,39,87,124,205,12,20,1,298,0,5,5,11,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,720,687,33,9,4,107,10,4,3,0,2,0,563,68,89,166,514,11,13,7,642,0,3,26,9,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,597,552,45,12,1,105,22,19,9,5,4,0,446,56,95,210,337,21,15,8,496,0,8,27,10,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,636,604,32,6,1,112,8,9,5,0,5,0,520,57,59,125,464,16,13,12,565,0,9,13,16,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,356,304,52,15,0,68,13,4,2,2,0,0,217,48,91,79,213,26,18,6,271,0,7,11,8,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,817,747,70,17,1,134,21,12,10,1,9,0,609,85,123,184,551,24,32,9,705,1,12,13,25,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,494,458,36,11,0,38,17,12,0,0,0,0,357,50,87,127,333,14,14,3,420,1,10,9,6,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,408,366,42,9,0,34,15,13,3,0,3,0,258,49,101,108,232,28,18,7,319,1,14,14,2,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,662,629,33,6,1,49,9,10,5,0,5,0,511,59,92,330,280,26,14,2,576,3,2,17,10,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,463,416,47,12,1,68,22,17,8,5,1,0,348,46,69,176,259,8,13,5,396,1,10,7,12,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,698,639,59,16,1,105,20,13,9,1,6,0,516,70,112,273,358,20,21,8,579,3,12,16,14,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,435,393,42,6,0,40,14,13,4,3,1,0,307,38,90,107,276,19,19,8,354,1,9,8,11,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,489,446,43,9,0,36,12,8,6,2,1,1,377,53,59,77,384,10,12,4,413,2,7,21,11,Match Report
