Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,619,578,41,13,0,78,19,13,4,1,0,0,485,57,77,121,468,9,12,8,545,2,9,13,10,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,603,557,46,16,1,53,17,16,6,3,2,0,444,73,86,162,404,11,14,7,525,5,7,13,9,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,536,484,52,16,1,73,10,11,7,5,1,0,392,46,98,144,329,22,22,8,440,3,7,13,16,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,670,617,53,15,2,77,20,14,7,1,2,0,528,63,79,178,449,12,21,8,578,3,6,14,21,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,618,576,42,12,1,86,21,18,5,0,2,0,496,65,57,146,433,10,16,10,537,1,9,14,13,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,575,529,46,14,0,65,15,10,5,0,1,0,423,87,65,124,402,18,18,7,499,1,7,12,10,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,558,520,38,8,3,27,14,17,3,2,0,0,442,52,64,220,303,7,17,5,494,2,10,15,6,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,552,517,35,15,1,52,12,28,6,3,0,2,455,39,58,181,340,14,9,4,477,3,7,11,10,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,785,729,56,11,2,66,21,33,13,2,2,2,596,98,91,262,451,27,27,12,672,3,7,19,20,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,627,589,38,11,0,60,32,20,8,2,4,1,472,65,90,133,446,22,10,5,545,4,10,6,10,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,733,704,29,9,4,74,23,9,6,2,3,0,583,64,86,213,484,15,11,5,666,1,2,13,17,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,490,438,52,19,1,31,17,7,4,2,2,0,340,55,95,139,307,10,17,10,410,5,10,15,8,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,796,746,50,9,1,77,40,35,11,4,1,2,560,128,108,269,468,17,23,7,687,5,11,15,17,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,624,581,43,11,3,55,27,10,4,4,0,0,480,72,72,201,385,8,18,7,551,1,5,13,9,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,672,638,34,15,1,78,20,8,4,1,2,0,549,50,73,203,439,7,10,9,603,0,6,16,10,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,599,554,45,14,1,79,17,10,4,3,0,0,453,70,76,232,323,10,19,10,522,4,13,20,11,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,731,686,45,12,2,37,16,17,6,2,1,0,596,75,60,233,459,7,20,6,657,2,10,13,18,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,779,743,36,11,0,115,20,12,5,1,2,0,620,77,82,184,560,6,13,9,705,0,7,14,18,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,594,551,43,9,2,87,17,9,0,0,0,0,472,47,75,171,378,8,23,8,528,0,6,11,10,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,720,675,45,13,1,60,43,14,7,4,0,0,533,69,118,215,457,21,13,10,632,3,6,13,12,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,519,476,43,12,0,59,15,3,5,1,2,0,389,61,69,146,332,13,17,6,445,1,5,7,11,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,583,546,37,10,2,45,18,9,5,2,2,0,464,52,67,169,377,13,11,8,530,0,2,15,3,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,671,620,51,16,1,82,25,2,3,2,1,0,542,57,72,207,413,10,22,11,607,0,5,14,9,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,857,808,49,9,2,71,20,20,13,4,2,2,685,91,81,174,620,15,17,11,765,3,9,16,15,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,691,648,43,18,2,33,25,7,0,0,0,0,560,59,72,223,440,2,11,9,625,1,8,20,6,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,764,713,51,19,1,193,28,7,9,4,1,0,569,84,111,209,485,23,17,15,667,6,10,22,10,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,,,,,,,11,,,,,,,,,,,,,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,651,608,43,22,0,100,25,12,3,2,0,0,531,35,85,215,396,12,10,14,581,3,4,10,8,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,,,,,,,4,,,,,,,,,,,,,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,,,,,,,22,,,,,,,,,,,,,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,687,639,48,11,2,85,19,22,10,2,4,0,498,103,86,193,424,17,23,16,591,1,3,15,21,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,,,,,,10,,,,,,,,,,,,,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,677,622,55,11,0,83,23,11,9,5,1,1,465,125,87,242,375,13,29,10,586,1,10,22,11,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,663,627,36,14,2,64,32,13,3,1,1,0,519,56,88,233,385,20,15,5,583,4,7,16,9,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,537,494,43,15,0,109,18,3,1,1,0,0,414,48,75,156,342,12,14,8,462,0,5,13,13,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,734,682,52,9,0,87,33,16,7,1,3,0,572,65,97,215,462,12,26,13,648,7,8,17,12,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,733,679,54,20,2,103,13,17,9,3,4,0,579,74,80,174,502,17,15,13,638,4,6,21,11,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,712,672,40,11,0,50,22,19,7,1,2,0,575,56,81,259,401,13,18,7,622,3,6,17,13,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,494,459,35,10,4,63,21,18,5,2,0,1,382,43,69,119,338,11,15,9,420,2,3,7,14,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,622,575,47,12,1,46,13,8,6,1,2,0,504,57,61,213,364,7,18,11,538,4,6,17,17,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,488,454,34,12,1,67,13,6,4,1,2,0,383,34,71,131,328,12,6,4,420,0,5,8,8,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,488,446,42,15,1,80,20,2,3,2,0,0,368,50,70,149,295,14,15,7,425,2,3,9,14,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,484,438,46,13,1,91,10,4,2,2,0,0,358,55,71,145,304,13,13,4,409,1,3,11,11,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,780,737,43,11,0,70,41,22,10,1,4,0,630,66,84,271,458,16,18,7,691,0,10,15,15,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,610,543,67,19,2,138,21,11,1,1,0,0,436,74,100,163,388,21,28,4,500,0,10,13,13,Match Report
