Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,368,444,82.9,7682,3001,154,174,88.5,142,164,86.6,65,88,73.9,0,0.5,7,24,6,6,14,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,298,375,79.5,5931,2169,123,141,87.2,124,143,86.7,44,76,57.9,2,1.3,8,20,6,3,18,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,455,549,82.9,8375,2698,206,226,91.2,183,212,86.3,53,87,60.9,0,0.8,11,27,5,1,29,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,355,440,80.7,6790,2056,163,186,87.6,130,147,88.4,52,86,60.5,1,1.4,8,22,11,0,34,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,474,540,87.8,9218,2977,190,207,91.8,210,230,91.3,68,88,77.3,0,1.1,12,41,12,4,43,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,279,362,77.1,5782,2134,123,142,86.6,106,120,88.3,46,91,50.5,0,0.6,8,31,5,1,28,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,325,395,82.3,5979,2061,169,183,92.3,105,127,82.7,44,74,59.5,1,1.0,13,28,2,0,15,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,510,581,87.8,10108,2938,171,182,94.0,267,295,90.5,66,91,72.5,0,0.8,6,28,5,2,30,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,189,269,70.3,3928,1597,77,86,89.5,80,99,80.8,30,71,42.3,2,0.2,4,14,1,1,8,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,278,343,81.0,5583,1958,116,128,90.6,113,127,89.0,45,77,58.4,2,1.5,8,27,5,2,19,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,462,531,87.0,7463,2467,253,273,92.7,156,176,88.6,41,57,71.9,0,0.4,5,28,9,0,30,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,441,516,85.5,8052,2531,180,202,89.1,212,239,88.7,41,59,69.5,1,1.6,11,42,12,2,50,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,194,284,68.3,4797,2354,62,75,82.7,78,99,78.8,48,95,50.5,0,0.7,6,13,0,0,12,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,407,488,83.4,7965,2628,187,206,90.8,144,167,86.2,73,98,74.5,1,1.1,10,27,7,1,43,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,507,566,89.6,8859,2648,251,267,94.0,198,212,93.4,50,71,70.4,1,1.1,13,50,10,0,35,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,433,504,85.9,8868,2647,171,186,91.9,176,197,89.3,76,105,72.4,1,0.8,15,37,9,5,25,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,265,344,77.0,5491,2025,113,129,87.6,102,122,83.6,46,85,54.1,1,0.6,5,18,6,2,20,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,273,349,78.2,5810,2067,105,110,95.5,107,131,81.7,57,92,62.0,0,0.7,7,23,5,2,13,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,452,519,87.1,9164,2507,180,188,95.7,199,216,92.1,70,105,66.7,1,0.3,8,25,4,4,26,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,351,445,78.9,6698,2803,149,169,88.2,150,179,83.8,47,78,60.3,0,1.8,16,29,11,2,40,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,457,541,84.5,8248,2340,196,212,92.5,206,232,88.8,50,81,61.7,0,0.8,9,37,9,3,32,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,519,587,88.4,9350,2828,242,263,92.0,202,228,88.6,65,79,82.3,0,1.0,15,35,13,4,36,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,358,434,82.5,6899,1927,153,166,92.2,148,165,89.7,51,88,58.0,0,0.6,6,35,12,2,33,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,101,200,50.5,2304,1171,32,43,74.4,40,59,67.8,24,87,27.6,0,0.3,3,10,2,1,10,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,399,467,85.4,6995,2449,190,209,90.9,162,179,90.5,39,62,62.9,1,0.8,9,39,12,2,49,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,192,280,68.6,4234,1919,84,103,81.6,58,78,74.4,42,83,50.6,0,0.2,3,16,4,2,22,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,,,,,,,,,,,,,,0,,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,239,320,74.7,5220,1853,80,96,83.3,111,130,85.4,44,82,53.7,0,0.1,5,24,2,2,16,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,,,,,,,,,,,,,,1,,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,,,,,,,,,,,,,,0,,,,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,,,,,,,,,,,,,,0,,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,296,375,78.9,5975,2380,122,133,91.7,122,142,85.9,49,89,55.1,2,0.6,2,12,3,1,12,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,,,,,,,,,,,,,1,,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,281,363,77.4,5851,2214,126,141,89.4,96,112,85.7,54,94,57.4,0,0.6,5,16,2,1,18,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,424,509,83.3,8072,2648,177,200,88.5,189,210,90.0,50,77,64.9,0,0.3,5,38,9,0,44,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,634,707,89.7,9521,2756,365,385,94.8,211,232,90.9,40,54,74.1,1,1.6,18,55,12,0,46,Match Report
