Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,545,619,88.0,10203,2860,232,249,93.2,216,239,90.4,82,104,78.8,3,1.5,13,40,12,2,45,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,525,603,87.1,9306,2356,249,272,91.5,215,223,96.4,56,96,58.3,3,0.8,14,35,17,2,38,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,440,536,82.1,7851,2539,210,235,89.4,162,184,88.0,56,90,62.2,1,0.9,8,33,9,2,31,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,578,670,86.3,10834,2855,250,269,92.9,239,264,90.5,76,108,70.4,3,1.9,11,35,12,1,37,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,537,618,86.9,10316,2753,215,231,93.1,236,262,90.1,74,102,72.5,1,1.1,12,33,12,2,28,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,499,575,86.8,9362,2813,196,214,91.6,223,245,91.0,64,88,72.7,2,1.0,14,35,15,2,45,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,494,558,88.5,9453,2700,216,233,92.7,202,225,89.8,73,92,79.3,4,2.4,15,36,19,2,43,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,477,552,86.4,9216,2737,184,201,91.5,229,253,90.5,61,87,70.1,0,1.0,13,54,9,5,37,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,672,785,85.6,12799,3707,269,297,90.6,298,333,89.5,89,116,76.7,0,2.2,26,67,22,5,84,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,545,627,86.9,10129,2822,253,268,94.4,215,245,87.8,69,96,71.9,1,1.3,15,42,10,3,41,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,666,733,90.9,12078,3371,298,314,94.9,263,279,94.3,80,100,80.0,3,2.3,19,51,15,0,39,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,410,490,83.7,7567,2121,198,217,91.2,145,160,90.6,54,92,58.7,1,0.5,8,19,10,0,22,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,687,796,86.3,13465,3659,298,321,92.8,254,282,90.1,126,172,73.3,0,0.7,14,52,10,2,44,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,551,624,88.3,10613,3196,244,268,91.0,219,238,92.0,82,100,82.0,2,1.0,13,44,16,3,44,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,603,672,89.7,11550,2932,230,247,93.1,284,296,95.9,81,112,72.3,2,2.3,11,34,8,0,31,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,522,599,87.1,9961,3076,194,216,89.8,232,246,94.3,75,105,71.4,1,1.7,13,43,13,3,37,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,657,731,89.9,12100,3424,297,318,93.4,264,287,92.0,84,101,83.2,4,3.0,18,48,16,1,52,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,705,779,90.5,12472,3600,330,348,94.8,272,289,94.1,83,101,82.2,2,1.4,14,70,18,3,58,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,528,594,88.9,9651,2634,243,258,94.2,203,217,93.5,64,90,71.1,1,0.5,9,42,13,1,38,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,632,720,87.8,12797,3243,259,277,93.5,248,269,92.2,117,156,75.0,1,1.0,12,47,9,1,41,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,445,519,85.7,8292,2472,197,213,92.5,169,184,91.8,63,92,68.5,2,1.5,11,31,7,0,20,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,530,583,90.9,9575,2808,249,266,93.6,203,218,93.1,67,83,80.7,2,0.9,14,36,11,1,36,Match Report
