Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,58,544,68,191,251,128,13,492,6,10,60.0,6,1,318,1590,815,30,9,1,15,16,435,368,84.6,14,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,62,484,79,191,217,106,10,436,15,22,68.2,15,0,283,1309,666,27,11,0,7,10,367,298,81.2,18,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,49,688,81,227,332,164,21,643,15,22,68.2,16,1,438,2199,1162,53,12,3,10,11,542,455,83.9,29,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,60,557,75,190,253,145,27,520,7,11,63.6,8,2,325,1847,1070,45,13,4,14,8,410,355,86.6,34,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,53,659,84,228,288,183,31,621,5,10,50.0,5,0,414,2012,1270,46,17,5,10,12,520,474,91.2,43,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,61,472,58,132,193,179,20,427,6,10,60.0,7,0,266,1420,791,36,11,4,16,13,341,279,81.8,28,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,59,501,75,163,244,123,22,446,11,16,68.8,13,0,332,1693,902,40,11,6,11,15,365,325,89.0,15,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,49,677,111,295,314,130,15,634,10,13,76.9,10,0,519,2717,1544,43,16,2,11,12,541,510,94.3,30,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,74,424,131,270,129,45,4,380,11,20,55.0,12,1,193,1323,708,19,5,1,15,7,244,189,77.5,8,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,65,458,82,164,219,104,20,407,11,21,52.4,11,0,286,1350,741,28,11,6,13,13,334,278,83.2,19,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,58,643,77,199,339,145,19,611,3,4,75.0,3,0,393,2035,1179,41,12,2,11,21,523,462,88.3,30,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,49,619,37,117,276,269,37,573,7,10,70.0,7,0,458,2353,1468,65,19,7,13,11,495,441,89.1,50,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,74,401,96,177,159,79,8,346,5,6,83.3,5,0,208,1061,535,14,3,2,14,12,259,194,74.9,12,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,56,594,63,191,276,169,19,546,6,13,46.2,6,0,376,1797,924,36,14,3,8,13,473,407,86.0,43,Match Report
