Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,58,729,59,230,343,200,32,686,16,20,80.0,17,0,510,2417,1361,52,16,6,5,10,606,545,89.9,45,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,62,708,48,180,323,235,36,666,12,22,54.5,13,1,491,2395,1214,53,13,4,7,12,592,525,88.7,38,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,49,663,72,219,281,208,30,613,16,27,59.3,18,2,406,2270,1261,37,16,7,13,19,492,440,89.4,31,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,60,766,77,271,329,214,39,716,14,20,70.0,14,1,537,2789,1568,66,17,12,5,13,650,578,88.9,37,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,53,720,99,260,273,233,31,679,10,15,66.7,10,0,491,2209,1312,47,17,6,7,11,602,537,89.2,28,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,61,688,75,230,317,189,36,645,12,22,54.5,13,0,511,2591,1546,66,22,10,11,7,556,499,89.7,45,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,59,670,81,200,317,196,43,633,15,21,71.4,16,7,520,2923,1711,55,15,11,9,10,552,494,89.5,43,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,49,644,47,159,284,257,33,610,6,9,66.7,6,0,453,2655,1722,71,26,12,11,13,528,477,90.3,37,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,74,881,37,144,392,409,56,824,19,26,73.1,21,1,665,3723,2183,99,29,14,6,10,769,672,87.4,84,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,65,718,59,183,319,259,33,680,9,15,60.0,9,0,492,2900,1728,77,20,8,9,6,601,545,90.7,41,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,58,854,76,255,418,247,39,826,14,24,58.3,16,1,655,2953,1590,64,23,5,16,8,718,666,92.8,39,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,49,593,91,289,238,104,27,544,9,18,50.0,10,3,406,2248,1224,31,12,6,8,14,480,410,85.4,22,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,74,881,52,207,383,366,49,834,10,18,55.6,10,2,650,3824,2320,106,40,20,8,3,786,687,87.4,44,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,56,735,58,206,385,195,30,694,10,19,52.6,10,2,473,2297,1329,57,15,5,13,6,609,551,90.5,44,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,54,767,77,271,341,203,37,735,13,19,68.4,14,0,576,2965,1780,59,18,13,15,6,651,603,92.6,31,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,54,702,91,259,306,190,33,660,15,26,57.7,17,1,503,2630,1444,51,20,5,8,7,582,522,89.7,37,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,68,841,72,223,418,254,52,797,13,23,56.5,14,2,629,2988,1683,74,25,12,11,13,719,657,91.4,52,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,69,878,60,170,405,357,42,841,12,19,63.2,14,0,699,3330,1843,92,22,10,7,8,751,705,93.9,58,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,53,687,64,178,341,223,29,644,10,23,43.5,11,1,473,2629,1322,59,22,3,14,3,573,528,92.1,38,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,62,843,90,285,351,251,32,800,8,16,50.0,8,0,559,2522,1340,58,11,10,7,8,708,632,89.3,41,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,49,635,86,222,287,170,27,592,11,20,55.0,11,0,444,2568,1323,48,19,10,12,9,510,445,87.3,20,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,50,683,70,231,305,198,27,646,8,16,50.0,9,0,418,1986,1068,46,14,7,4,8,558,530,95.0,36,Match Report
