Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,1.8,1.7,58,3968,Karim Benzema,4-3-3,César Soto,Match Report,
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,1.2,1.9,62,9838,Karim Benzema,4-3-3,Guillermo Cuadra,Match Report,
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,1.1,0.8,49,22590,Karim Benzema,4-3-3,Alejandro Hernández,Match Report,
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,3.4,1.8,60,19874,Karim Benzema,4-4-2,José Sánchez,Match Report,
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,1.1,2.0,53,37082,Karim Benzema,4-3-3,Daniel Siebert,Match Report,
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,1.1,0.8,61,26689,Karim Benzema,4-4-1-1,Pablo González,Match Report,
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,2.9,1.1,59,20113,Karim Benzema,4-3-3,Alberola Rojas,Match Report,
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,1.4,0.8,49,23985,Karim Benzema,4-3-3,Jesús Gil,Match Report,
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,3.3,0.2,74,24522,Karim Benzema,4-3-3,Lawrence Visser,Match Report,
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,1.4,1.5,65,23377,Karim Benzema,4-4-2◆,Guillermo Cuadra,Match Report,
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,2.5,0.5,58,34037,Karim Benzema,4-3-3,Srđan Jovanović,Match Report,
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,1.1,1.7,49,86422,Karim Benzema,4-3-3,José Sánchez,Match Report,
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0.8,0.8,74,35691,Karim Benzema,4-3-3,César Soto,Match Report,
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,1.1,1.3,56,23010,Marcelo,4-3-3,Ricardo de Burgos,Match Report,
