Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,1,10,3,30.0,0.00,0.00,19.2,1,1,1,1.7,0.9,0.10,-0.7,-0.9,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,3,9,4,44.4,0.33,0.75,15.6,0,0,0,1.9,1.9,0.21,+1.1,+1.1,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,0,13,7,53.8,0.00,0.00,22.0,1,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,2,11,4,36.4,0.18,0.50,14.6,0,0,0,1.8,1.8,0.18,+0.2,+0.2,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,0,18,5,27.8,0.00,0.00,13.8,1,0,0,2.0,2.0,0.11,-2.0,-2.0,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,1,12,4,33.3,0.08,0.25,18.8,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,1,17,4,23.5,0.06,0.25,19.4,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,0,6,2,33.3,0.00,0.00,13.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,2,4,3,75.0,0.50,0.67,18.4,0,0,0,0.2,0.2,0.06,+1.8,+1.8,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,2,8,4,50.0,0.25,0.50,20.2,0,0,0,1.5,1.5,0.18,+0.5,+0.5,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,0,7,4,57.1,0.00,0.00,16.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,1,12,2,16.7,0.08,0.50,14.7,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0,7,0,0.0,0.00,,14.8,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,1,13,4,30.8,0.08,0.25,18.2,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,1,13,5,38.5,0.08,0.20,18.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,1,19,6,31.6,0.05,0.17,16.7,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,1,11,3,27.3,0.09,0.33,19.8,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,0,12,5,41.7,0.00,0.00,21.3,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,1,11,5,45.5,0.09,0.20,18.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,0,18,2,11.1,0.00,0.00,15.0,0,0,0,1.9,1.9,0.10,-1.9,-1.9,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,0,12,0,0.0,0.00,,16.0,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,0,17,3,17.6,0.00,0.00,15.1,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,0,9,6,66.7,0.00,0.00,15.8,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,0,4,0,0.0,0.00,,17.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,1,14,2,14.3,0.07,0.50,17.6,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report
