Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,4,19,7,36.8,0.21,0.57,18.0,2,0,0,1.8,1.8,0.09,+2.2,+2.2,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,3,20,5,25.0,0.15,0.60,19.3,1,0,0,1.2,1.2,0.06,+1.8,+1.8,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,1,13,3,23.1,0.08,0.33,17.6,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,5,14,10,71.4,0.29,0.40,12.9,0,1,1,3.4,2.6,0.19,+1.6,+1.4,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,1,12,2,16.7,0.08,0.50,16.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,2,18,10,55.6,0.11,0.20,17.9,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,6,18,11,61.1,0.33,0.55,14.6,0,0,0,2.9,2.9,0.16,+3.1,+3.1,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,0,16,2,12.5,0.00,0.00,17.6,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,1,30,10,33.3,0.00,0.00,17.4,2,1,1,3.3,2.5,0.09,-2.3,-2.5,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,1,18,4,22.2,0.06,0.25,18.2,2,0,0,1.4,1.4,0.08,-0.4,-0.4,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,4,23,10,43.5,0.17,0.40,21.2,0,0,0,2.5,2.5,0.11,+1.5,+1.5,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,2,10,5,50.0,0.20,0.40,13.3,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0,17,2,11.8,0.00,0.00,25.2,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,2,17,5,29.4,0.12,0.40,17.2,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,2,13,6,46.2,0.15,0.33,17.4,1,0,0,2.4,2.4,0.18,-0.4,-0.4,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,2,15,6,40.0,0.13,0.33,13.1,0,0,0,2.1,2.1,0.14,-0.1,-0.1,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,4,21,9,42.9,0.19,0.44,15.7,0,0,0,3.3,3.3,0.17,+0.7,+0.7,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,3,17,8,47.1,0.18,0.38,16.5,2,0,0,1.6,1.6,0.09,+1.4,+1.4,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,2,14,4,28.6,0.14,0.50,21.2,1,0,0,1.5,1.5,0.11,+0.5,+0.5,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,1,17,7,41.2,0.06,0.14,19.6,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,2,13,8,61.5,0.15,0.25,15.6,1,0,0,2.0,2.0,0.15,0.0,0.0,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,2,15,5,33.3,0.13,0.40,16.6,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,2,7,3,42.9,0.29,0.67,16.3,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,0,36,8,22.2,0.00,0.00,18.6,2,0,0,2.6,2.6,0.07,-2.6,-2.6,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,2,12,7,58.3,0.17,0.29,21.7,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,0,14,4,28.6,0.00,0.00,20.8,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,2,13,3,23.1,0.15,0.67,,,0,0,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,4,22,7,31.8,0.14,0.43,18.9,1,1,1,3.6,2.9,0.14,+0.4,+0.1,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,3,14,8,57.1,0.21,0.38,,,0,0,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,2,13,4,30.8,0.08,0.25,,,1,1,,,,,,Match Report
