Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,52,4770,92,92.4,53.0,52,92,52,0,,1,2.27,113,46,+67,+1.26,+0.80,92.8,60.7,+32.1,+0.65,+1.77,Matches
Éder Militão\2784f898,br BRA,DF,23,50,4491,90,87.0,49.9,50,90,44,0,,2,2.20,97,45,+52,+1.04,-1.24,82.8,57.5,+25.3,+0.55,-0.19,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,52,4253,82,82.4,47.3,47,88,21,5,21,0,2.27,101,38,+63,+1.33,+0.74,78.1,51.3,+26.8,+0.62,+0.26,Matches
David Alaba\05439de2,at AUT,DF,29,46,4066,88,78.8,45.2,46,88,40,0,,1,2.22,91,40,+51,+1.13,-0.35,70.9,47.9,+23.0,+0.56,-0.07,Matches
Casemiro\4d224fe8,br BRA,MF,29,48,3918,82,75.9,43.5,46,83,32,2,40,3,2.17,79,36,+43,+0.99,-0.90,65.1,47.3,+17.8,+0.46,-0.46,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,46,3905,85,80.3,43.4,45,86,28,1,31,1,2.35,96,38,+58,+1.34,+0.49,78.0,47.7,+30.3,+0.74,+0.79,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,45,3416,76,66.2,38.0,40,82,14,5,28,2,2.23,75,36,+39,+1.03,-0.52,59.3,43.7,+15.6,+0.45,-0.37,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,45,3388,75,65.7,37.6,40,82,22,5,21,2,2.13,59,31,+28,+0.74,-1.34,57.6,40.3,+17.3,+0.52,-0.17,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,46,2864,62,55.5,31.8,29,86,18,17,21,3,2.24,67,33,+34,+1.07,-0.30,54.4,39.6,+14.7,+0.50,-0.17,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,35,2811,80,54.5,31.2,32,86,23,3,17,2,2.34,67,25,+42,+1.34,+0.31,53.8,34.6,+19.1,+0.66,+0.19,Matches
