Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Éder Militão\2784f898,br BRA,DF,23,49.9,2,45,13,28.9,0.90,0.26,0.04,0.15,15.9,0,0,0,3.3,3.3,0.08,-2.3,-2.3,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,47.3,22,114,54,47.4,2.41,1.14,0.19,0.41,14.6,0,0,0,17.2,17.2,0.16,+3.8,+3.8,Matches
David Alaba\05439de2,at AUT,DF,29,45.2,3,30,7,23.3,0.66,0.15,0.10,0.43,22.1,9,0,0,1.8,1.8,0.08,+1.2,+1.2,Matches
Casemiro\4d224fe8,br BRA,MF,29,43.5,1,59,17,28.8,1.36,0.39,0.02,0.06,24.2,1,0,0,3.0,3.0,0.06,-2.0,-2.0,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,43.4,44,169,70,41.4,3.90,1.61,0.20,0.47,15.7,7,11,15,32.1,21.5,0.13,+9.9,+10.5,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,38.0,3,45,16,35.6,1.19,0.42,0.04,0.13,20.4,1,1,1,3.8,3.0,0.07,-1.8,-2.0,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,37.6,3,61,20,32.8,1.62,0.53,0.05,0.15,23.8,6,0,0,2.5,2.5,0.04,+0.5,+0.5,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31.8,1,48,10,20.8,1.51,0.31,0.02,0.10,23.6,0,0,0,1.4,1.4,0.03,-1.4,-1.4,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,31.2,2,14,6,42.9,0.45,0.19,0.14,0.33,20.8,0,0,0,1.2,1.2,0.08,+0.8,+0.8,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,28.8,1,15,4,26.7,0.52,0.14,0.07,0.25,19.0,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Nacho\2946f9a1,es ESP,DF,31,28.3,3,13,4,30.8,0.46,0.14,0.23,0.75,12.2,0,0,0,1.4,1.4,0.13,+1.6,+1.6,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,27.9,3,19,5,26.3,0.68,0.18,0.16,0.60,20.2,0,0,0,1.8,1.8,0.10,+1.2,+1.2,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,26.1,9,66,26,39.4,2.53,1.00,0.14,0.35,14.9,1,0,0,7.1,7.1,0.12,+1.9,+1.9,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,23.8,12,75,36,48.0,3.15,1.51,0.16,0.33,18.5,1,0,0,8.1,8.1,0.12,+2.9,+2.9,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,18.6,2,20,7,35.0,1.08,0.38,0.10,0.29,23.2,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,10.1,1,16,11,68.8,1.58,1.09,0.06,0.09,15.4,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches
Marcelo\603116a7,br BRA,DF,33,8.2,0,12,3,25.0,1.47,0.37,0.00,0.00,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,6.2,1,20,5,25.0,3.21,0.80,0.05,0.20,12.6,0,0,0,3.2,3.2,0.16,-2.2,-2.2,Matches
Mariano\5c4dc0ff,do DOM,FW,27,4.5,1,15,3,20.0,3.36,0.67,0.07,0.33,12.8,0,0,0,2.2,2.2,0.16,-1.2,-1.2,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,3.9,2,12,4,33.3,3.06,1.02,0.17,0.50,14.7,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,3.9,0,11,3,27.3,2.81,0.77,0.00,0.00,19.8,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3.6,0,1,0,0.0,0.28,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,3.2,1,15,6,40.0,4.67,1.87,0.07,0.17,20.0,2,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Blanco\506daeac,es ESP,MF,21,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,0.3,0,2,1,50.0,6.67,3.33,0.00,0.00,23.1,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
Mario Gila\9c435456,es ESP,DF,20,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Latasa\2bea832e,es ESP,FW,20,0.1,0,1,0,0.0,10.00,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
