Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,52,52,4770,53.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Éder Militão\2784f898,br BRA,DF,23,50,50,4491,49.9,0.04,0.04,0.04,0.00,0.00,0.18,0.02,0.04,0.04,0.08,0.04,0.08,0.07,0.07,0.03,0.10,0.07,0.03,0.10,0.07,0.10,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,52,47,4253,47.3,0.47,0.34,0.47,0.00,0.00,0.15,0.00,0.47,0.34,0.80,0.47,0.80,0.40,0.40,0.26,0.66,0.40,0.26,0.66,0.40,0.66,Matches
David Alaba\05439de2,at AUT,DF,29,46,46,4066,45.2,0.07,0.09,0.07,0.00,0.00,0.09,0.00,0.07,0.09,0.15,0.07,0.15,0.04,0.04,0.07,0.11,0.04,0.07,0.11,0.04,0.11,Matches
Casemiro\4d224fe8,br BRA,MF,29,48,46,3918,43.5,0.02,0.07,0.02,0.00,0.00,0.37,0.00,0.02,0.07,0.09,0.02,0.09,0.08,0.08,0.07,0.15,0.08,0.07,0.15,0.08,0.15,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,46,45,3905,43.4,1.01,0.32,0.76,0.25,0.35,0.02,0.00,1.01,0.32,1.34,0.76,1.08,0.78,0.52,0.30,0.82,0.78,0.30,1.08,0.52,0.82,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,45,40,3416,38.0,0.08,0.32,0.05,0.03,0.03,0.16,0.00,0.08,0.32,0.40,0.05,0.37,0.11,0.09,0.17,0.26,0.11,0.17,0.28,0.09,0.26,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,45,40,3388,37.6,0.08,0.08,0.08,0.00,0.00,0.16,0.00,0.08,0.08,0.16,0.08,0.16,0.08,0.08,0.13,0.20,0.08,0.12,0.20,0.08,0.20,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,46,29,2864,31.8,0.03,0.06,0.03,0.00,0.00,0.16,0.00,0.03,0.06,0.09,0.03,0.09,0.05,0.05,0.10,0.15,0.05,0.10,0.15,0.05,0.15,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,35,32,2811,31.2,0.06,0.13,0.06,0.00,0.00,0.22,0.00,0.06,0.13,0.19,0.06,0.19,0.04,0.04,0.07,0.11,0.04,0.07,0.11,0.04,0.11,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,36,29,2596,28.8,0.03,0.14,0.03,0.00,0.00,0.14,0.00,0.03,0.14,0.17,0.03,0.17,0.04,0.04,0.13,0.17,0.04,0.13,0.17,0.04,0.17,Matches
Nacho\2946f9a1,es ESP,DF,31,42,26,2551,28.3,0.11,0.00,0.11,0.00,0.00,0.32,0.00,0.11,0.00,0.11,0.11,0.11,0.06,0.06,0.03,0.08,0.06,0.02,0.08,0.06,0.08,Matches
